,actual,prediction,Date,Team,Opponent,Result
467,0,0,2024-06-29,Italy,Switzerland,D
241,0,1,2024-06-29,Denmark,Germany,D
842,0,1,2024-06-30,Spain,Georgia,D
756,0,0,2024-06-30,Slovakia,England,D
111,0,0,2024-07-01,Belgium,France,D
799,0,1,2024-07-01,Slovenia,Portugal,D
514,0,1,2024-07-02,Netherlands,Romania,D
926,0,1,2024-07-02,Turkiye,Austria,D
242,0,0,2024-07-05,Denmark,Spain,D
321,0,1,2024-07-05,France,Slovenia,D
887,0,1,2024-07-06,Switzerland,England,D
927,0,0,2024-07-06,Turkiye,Netherlands,D
843,0,1,2024-07-09,Spain,France,D
515,0,1,2024-07-10,Netherlands,Switzerland,D
844,0,1,2024-07-14,Spain,Netherlands,D
