,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,PK,PKatt,Team
4,2024-06-14,21:00,UEFA Euro,Group stage,Fri,Home,W,5.0,1.0,sct Scotland,2.1,0.0,72.0,65052.0,İlkay Gündoğan,4-2-3-1,Clément Turpin,Match Report,,19.0,9.0,20.7,1,1,Germany
5,2024-06-19,18:00,UEFA Euro,Group stage,Wed,Home,W,2.0,0.0,hu Hungary,1.4,1.2,69.0,54000.0,İlkay Gündoğan,4-2-3-1,Danny Makkelie,Match Report,,19.0,7.0,17.8,0,0,Germany
6,2024-06-23,21:00,UEFA Euro,Group stage,Sun,Away,D,1.0,1.0,ch Switzerland,1.6,0.6,65.0,46685.0,İlkay Gündoğan,4-2-3-1,Daniele Orsato,Match Report,,18.0,3.0,15.9,0,0,Germany
0,2022-06-04,20:45,UEFA Nations League,League A,Sat,Away,D,1,1,it Italy,,,67.0,23754.0,Manuel Neuer,4-2-3-1,Srdjan Stojanovic,Match Report,,12.0,4.0,,0,0,Germany
1,2022-06-07,20:45,UEFA Nations League,League A,Tue,Home,D,1,1,eng England,,,63.0,66289.0,Manuel Neuer,3-4-3,Carlos del Cerro,Match Report,,10.0,6.0,,0,0,Germany
2,2022-06-11,20:45,UEFA Nations League,League A,Sat,Away,D,1,1,hu Hungary,,,67.0,55948.0,Manuel Neuer,3-4-3,José Sánchez,Match Report,,6.0,1.0,,0,0,Germany
3,2022-06-14,20:45,UEFA Nations League,League A,Tue,Home,W,5,2,it Italy,,,65.0,44144.0,Manuel Neuer,4-2-3-1,István Kovács,Match Report,,17.0,9.0,,1,1,Germany
4,2022-09-23,20:45,UEFA Nations League,League A,Fri,Home,L,0,1,hu Hungary,,,73.0,39513.0,Thomas Müller,4-2-3-1,Slavko Vinčič,Match Report,,10.0,3.0,,0,0,Germany
5,2022-09-26,19:45,UEFA Nations League,League A,Mon,Away,D,3,3,eng England,,,59.0,78949.0,Joshua Kimmich,4-2-3-1,Danny Makkelie,Match Report,,10.0,4.0,,1,1,Germany
0,2021-03-25,20:45,WCQ,First round,Thu,Home,W,3,0,is Iceland,,,82.0,,Manuel Neuer,4-3-3,Srđan Jovanović,Match Report,,15.0,5.0,,0,0,Germany
1,2021-03-28,21:45,WCQ,First round,Sun,Away,W,1,0,ro Romania,,,66.0,,Manuel Neuer,4-3-3,Clément Turpin,Match Report,,18.0,9.0,,0,0,Germany
2,2021-03-31,20:45,WCQ,First round,Wed,Home,L,1,2,mk N. Macedonia,,,70.0,,İlkay Gündoğan,4-3-3,Sergey Karasev,Match Report,,11.0,2.0,,1,1,Germany
3,2021-09-02,20:45,WCQ,First round,Thu,Away,W,2,0,li Liechtenstein,,,85.0,7958.0,Joshua Kimmich,4-2-3-1,Fábio Veríssimo,Match Report,,30.0,7.0,,0,0,Germany
4,2021-09-05,20:45,WCQ,First round,Sun,Home,W,6,0,am Armenia,,,76.0,18086.0,Manuel Neuer,4-2-3-1,William Collum,Match Report,,23.0,12.0,,0,0,Germany
5,2021-09-08,18:45,WCQ,First round,Wed,Away,W,4,0,is Iceland,,,71.0,3505.0,Manuel Neuer,4-2-3-1,Andreas Ekberg,Match Report,,19.0,8.0,,0,0,Germany
6,2021-10-08,20:45,WCQ,First round,Fri,Home,W,2,1,ro Romania,,,77.0,25000.0,Joshua Kimmich,4-2-3-1,Cüneyt Çakιr,Match Report,,22.0,6.0,,0,0,Germany
7,2021-10-11,20:45,WCQ,First round,Mon,Away,W,4,0,mk N. Macedonia,,,74.0,16182.0,Manuel Neuer,4-2-3-1,Danny Makkelie,Match Report,,24.0,10.0,,0,0,Germany
